id,thomas_id,api_uri,first_name,middle_name,last_name,party,twitter_account,facebook_account,facebook_id,url,rss_url,domain,seniority,state,district,missed_votes_pct,votes_with_party_pct
R000572,1651,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000572.json,Mike,,Rogers,R,RepMikeRogers,168209963203416,168209963203416,http://mikerogers.house.gov,http://mikerogers.house.gov/news/rss.aspx,mikerogers.house.gov,8,MI,8,1.92,91.90
R000573,1632,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000573.json,Mike,,Ross,D,RepMikeRoss,,,,,,8,AR,4,1.55,93.61
R000574,1706,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000574.json,Rick,,Renzi,R,,,,,,,6,AZ,1,8.05,85.85
R000575,1704,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000575.json,Mike,D.,Rogers,R,RepMikeRogersAL,171770326187035,,http://mike-rogers.house.gov/,http://mike-rogers.house.gov/rss.xml,mike-rogers.house.gov,8,AL,3,1.97,90.48
R000576,1728,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000576.json,"C.A. Dutch",,Ruppersberger,D,Call_Me_Dutch,184756771570504,,http://dutch.house.gov/,http://dutch.house.gov/atom.xml,dutch.house.gov,6,MD,2,5.23,96.51
R000577,1756,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000577.json,Tim,,Ryan,D,RepTimRyan,timryan,121560497865,http://timryan.house.gov,http://timryan.house.gov/rss.xml,timryan.house.gov,6,OH,17,3.79,96.73
R000578,1810,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000578.json,Dave,,Reichert,R,davereichert,repdavereichert,91504302598,http://reichert.house.gov/,http://reichert.house.gov/rss.xml,reichert.house.gov,4,WA,8,1.71,82.09
R000580,1848,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000580.json,Peter,,Roskam,R,PeterRoskam,,,http://roskam.house.gov,http://roskam.house.gov/index.php?format=feed&type=rss,roskam.house.gov,2,IL,6,1.97,92.17
R000581,1883,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/R000581.json,Laura,,Richardson,D,replrichardson,,,,,,2,CA,37,6.13,98.24
S000030,1522,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000030.json,Loretta,,Sanchez,D,lorettasanchez,LorettaSanchez,90966961167,http://www.lorettasanchez.house.gov,http://lorettasanchez.house.gov/rss.xml,www.lorettasanchez.house.gov,12,CA,47,5.76,96.77
S000097,1023,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000097.json,"H. James",,Saxton,R,,,,,,,26,NJ,3,8.00,83.07
